feature,xgb_baseline_mean_abs_shap,xgb_baseline_importance_share,xgb_baseline_top_interaction_feature,xgb_one_embedding_mean_abs_shap,xgb_one_embedding_importance_share,xgb_one_embedding_top_interaction_feature,combined_mean_abs_shap
num__user_count,12.15964255336384,0.7325595097642755,num__release_date,16.35081618427282,0.6111684370207529,num__game_emb_0,28.51045873763666
num__game_emb_0,,,,8.113760220188148,0.30327991558631107,num__user_count,8.113760220188148
num__game_total_playtime_minutes,2.4654700195529093,0.14853261524225958,num__user_count,0.5668185685961974,0.02118680894819716,num__game_emb_0,3.0322885881491066
num__release_date,0.6610857505199114,0.03982721130063499,num__user_count,0.7825083348674408,0.029248961677928304,num__game_emb_0,1.4435940853873521
num__median_playtime_minutes,0.1449427952406285,0.008732100681361328,num__user_count,0.2306885078451846,0.008622782691056315,num__release_date,0.3756313030858131
num__total_games_owned,0.14933490529386026,0.008996704017627666,num__user_count,0.10223042509576227,0.0038212165324102375,num__game_emb_0,0.25156533038962253
num__user_playtime_group_Other,0.1494541936425532,0.009003890562285996,num__unique_genres_played,0.062290128091723004,0.0023283094738878285,,0.2117443217342762
num__user_playtime_group_RPG,0.09421015816905408,0.005675705266849719,,0.08987019705396179,0.003359210161083445,num__game_emb_0,0.18408035522301586
num__user_playtime_group_Indie,0.1285191891030835,0.0077426580387934185,num__user_playtime_group_Casual,0.006861457021428293,0.0002564707422682032,,0.13538064612451178
num__user_playtime_group_Strategy,0.10639636695411021,0.006409865263271344,num__total_playtime_minutes,0.028834631649665744,0.0010777943167354551,,0.13523099860377596
num__user_playtime_group_Non-gameplay_Tools,0.07051711701617534,0.004248314409297238,,0.05524939912903218,0.0020651378213465046,,0.1257665161452075
num__user_playtime_group_Casual,0.06012582200028185,0.0036222892651162487,,0.06060586279490529,0.0022653542197045855,,0.12073168479518714
num__user_playtime_group_Racing,0.07551591783104854,0.004549467922509659,,0.038053216335934927,0.0014223708767526731,,0.11356913416698347
