group,n_games,median_uc,q25_uc,q75_uc,median_degree,q25_degree,q75_degree,median_delta_notowned,median_delta_owned
Action,8518,59.0,14.0,220.0,44.5,11.0,169.0,-0.003342687118504111,0.6069950235714285
Racing,650,51.5,13.0,200.0,40.5,10.0,150.25,-0.00299381380994832,0.5965139657894737
Adventure,8556,44.0,12.0,176.25,33.0,10.0,134.0,-0.002708038147637131,0.608386365
Indie,13423,42.0,12.0,144.0,31.0,9.0,111.0,-0.002359783406,0.6140859911666667
Strategy,4271,39.0,11.0,161.0,29.0,9.0,122.0,-0.0026770762416964285,0.6325962359999999
RPG,4346,36.0,11.0,160.0,26.0,8.0,119.0,-0.002162887238396458,0.6223501895
Casual,7503,34.0,11.0,109.0,26.0,9.0,86.0,-0.0019110132816161614,0.5306338610000001
Adult,57,29.0,9.0,68.0,20.0,7.0,59.0,-0.0005727759132051281,0.360295506
Simulation,4990,27.0,9.0,104.0,20.0,7.0,75.0,-0.001597877274179588,0.582153097
Sports,964,27.0,8.0,99.0,20.0,7.0,75.0,-0.0014637290020058753,0.4900207915024458
Violent,186,22.5,5.0,83.0,19.0,5.0,70.0,-0.0006761144119640163,0.5624082425
Other,2267,12.0,5.0,51.0,9.0,4.0,37.0,-0.0006175636656565657,0.5679002621969698
Non-gameplay/Tools,389,6.0,3.0,22.0,5.0,2.0,15.0,-0.00038555220417721517,0.6108675920000001
