steamid,appid,playtime_minutes
76561198064675174,400,367
76561198064675174,500,117
76561198064675174,550,0
76561198064675174,620,710
76561198064675174,3900,7075
76561198064675174,3910,0
76561198064675174,3990,3568
76561198064675174,7650,0
76561198064675174,7660,0
76561198064675174,7670,667
76561198064675174,7730,0
76561198064675174,7760,0
76561198064675174,7770,0
76561198064675174,8190,1336
76561198064675174,8800,11329
76561198064675174,8850,0
76561198064675174,8870,864
76561198064675174,8930,27905
76561198064675174,12140,430
76561198064675174,12210,2246
76561198064675174,12750,468
76561198064675174,15100,1000
76561198064675174,17390,191
76561198064675174,17410,107
76561198064675174,17430,21
76561198064675174,17470,237
76561198064675174,20900,2722
76561198064675174,20920,1583
76561198064675174,22300,2446
76561198064675174,22380,2224
76561198064675174,24780,68
76561198064675174,24800,10
76561198064675174,24980,2008
76561198064675174,25890,1394
76561198064675174,34440,0
76561198064675174,34450,0
76561198064675174,34460,0
76561198064675174,35140,899
76561198064675174,39140,2352
76561198064675174,39150,2466
76561198064675174,42960,11696
76561198064675174,47790,299
76561198064675174,47810,5329
76561198064675174,47830,0
76561198064675174,48000,289
76561198064675174,49520,59
76561198064675174,50130,836
76561198064675174,50300,509
76561198064675174,65930,1122
76561198064675174,70640,162
76561198064675174,72850,8073
76561198064675174,107100,985
76561198064675174,108710,606
76561198064675174,108800,0
76561198064675174,110800,2763
76561198064675174,115320,1089
76561198064675174,200510,8730
76561198064675174,202170,1733
76561198064675174,203160,881
76561198064675174,203770,72580
76561198064675174,204100,430
76561198064675174,205100,864
76561198064675174,205650,927
76561198064675174,207610,823
76561198064675174,208480,2606
76561198064675174,210970,1405
76561198064675174,212680,40
76561198064675174,218040,210
76561198064675174,218680,394
76561198064675174,219740,4010
76561198064675174,219800,29141
76561198064675174,220200,14026
76561198064675174,221910,331
76561198064675174,223670,1048
76561198064675174,224480,362
76561198064675174,225080,130
76561198064675174,226840,76
76561198064675174,228280,1244
76561198064675174,230230,0
76561198064675174,232430,171
76561198064675174,233130,0
76561198064675174,233290,536
76561198064675174,234140,2632
76561198064675174,234270,876
76561198064675174,236850,42767
76561198064675174,239820,5516
76561198064675174,240720,27
76561198064675174,241260,842
76561198064675174,242050,3508
76561198064675174,242920,2930
76561198064675174,243470,3509
76561198064675174,243970,2465
76561198064675174,246620,58
76561198064675174,250320,488
76561198064675174,251990,907
76561198064675174,252730,115
76561198064675174,252950,5016
76561198064675174,255260,37637
76561198064675174,255520,0
76561198064675174,255710,3774
76561198064675174,257350,4111
76561198064675174,257510,1148
76561198064675174,258520,0
76561198064675174,259940,76
76561198064675174,259960,134
76561198064675174,259980,40
76561198064675174,260000,133
76561198064675174,260020,23
76561198064675174,260040,0
76561198064675174,260060,36
76561198064675174,260230,490
76561198064675174,261030,527
76561198064675174,264200,0
76561198064675174,268500,15126
76561198064675174,271240,231
76561198064675174,281990,24794
76561198064675174,282070,595
76561198064675174,284240,0
76561198064675174,286160,72
76561198064675174,286570,994
