steamid,public,country,account_created,last_logoff
76561198064675174,True,IT,1338657689.0,
76561198109425210,True,BE,1380726267.0,
76561198072785106,True,BE,1349199198.0,
76561197972156958,True,BE,1103806274.0,
76561197972649538,True,BE,1104448084.0,
76561198011629606,True,BE,1246803801.0,
76561198093552652,True,BE,1370435283.0,
76561197964225381,False,,,
76561197989476402,True,,1176912452.0,
76561198251110304,True,BE,1442681295.0,
76561197967261296,True,BE,1088687611.0,
76561198110809276,True,BE,1381681085.0,
76561197961289027,True,,1064318306.0,
76561197996163135,True,JP,1201576400.0,
76561197970674558,False,,,
76561198040280241,True,NO,1302091315.0,
76561198171131170,True,JP,1419913363.0,
76561198014170017,False,,,
76561198184880958,True,US,1426198878.0,
76561198188194649,True,,1427474940.0,
76561198052552742,True,,1321195088.0,
76561198090666334,True,,1367852796.0,
76561198044026115,True,,1309074986.0,
76561198799265727,True,US,1514223482.0,
76561198061435703,True,SG,1333638879.0,
76561198998851854,True,DK,1571914251.0,
76561198189963893,True,,1428240589.0,
76561198149967573,True,,1408021738.0,
76561198216676251,True,SG,1441515483.0,
76561197992753692,True,BE,1190217387.0,
76561198108554984,True,AU,1380194896.0,
76561198869901325,True,,1541936636.0,
76561197991426497,False,,,
76561197979100916,True,,1131443472.0,
76561198963862178,True,,1557644907.0,
76561198129082823,True,KR,1394347844.0,
76561198172776126,True,US,1420676328.0,
76561199099595589,True,,1603038384.0,
76561198064411172,True,,1338242590.0,
76561198983568971,True,KR,1565615152.0,
76561198035441627,True,JP,1293118025.0,
76561198040827839,True,US,1303253009.0,
76561198812683416,True,,1518065988.0,
76561198017480739,True,US,1259966008.0,
76561198000505887,False,,,
76561198288143627,True,,1457186954.0,
76561198004998877,True,CA,1231592074.0,
76561198063770935,True,TW,1337251353.0,
76561198272128006,True,,1451107211.0,
76561198301241643,True,US,1461527721.0,
