"appid";"name";"genres";"developer";"publisher";"platforms";"release_date";"user_count"
"550";"Left 4 Dead 2";"Action";"Valve";"Valve";"windows;linux";"16 Nov, 2009";"24"
"320";"Half-Life 2: Deathmatch";"Action";"Valve";"Valve";"windows;linux";"1 Nov, 2004";"20"
"730";"Counter-Strike 2";"Action;Free To Play";"Valve";"Valve";"windows;linux";"21 Aug, 2012";"19"
"220";"Half-Life 2";"Action";"Valve";"Valve";"windows;linux";"16 Nov, 2004";"19"
"360";"Half-Life Deathmatch: Source";"Action";"Valve";"Valve";"windows;linux";"1 May, 2006";"19"
"620";"Portal 2";"Action;Adventure";"Valve";"Valve";"windows;linux";"18 Apr, 2011";"18"
"218620";"PAYDAY 2";"Action;RPG";"OVERKILL - a Starbreeze Studio.";"Starbreeze Entertainment";"windows;linux";"13 Aug, 2013";"18"
"945360";"Among Us";"Casual";"Innersloth";"Innersloth";"windows";"16 Nov, 2018";"17"
"49520";"Borderlands 2";"Action;RPG";"Gearbox Software;Aspyr (Mac);Aspyr (Linux)";"2K;Aspyr (Mac);Aspyr (Linux)";"windows;mac;linux";"20 Sep, 2012";"16"
"440";"Team Fortress 2";"Action;Free To Play";"Valve";"Valve";"windows;linux";"10 Oct, 2007";"16"
"400";"Portal";"Action";"Valve";"Valve";"windows;linux";"10 Oct, 2007";"15"
"322330";"Don't Starve Together";"Action;Adventure;Indie;RPG;Simulation;Strategy";"Klei Entertainment";"Klei Entertainment";"windows;mac;linux";"21 Apr, 2016";"15"
"240";"Counter-Strike: Source";"Action";"Valve";"Valve";"windows;linux";"1 Nov, 2004";"15"
"548430";"Deep Rock Galactic";"Action";"Ghost Ship Games";"Coffee Stain Publishing";"windows";"13 May, 2020";"14"
"552500";"Warhammer: Vermintide 2";"Action;Indie;RPG";"Fatshark";"Fatshark";"windows";"8 Mar, 2018";"14"
