feature,importance_mean,importance_std
game_total_playtime_minutes,0.172,0.14675149062275314
user_count,0.06799999999999999,0.08447484832777154
platforms,0.01999999999999995,0.03919183588453079
total_games_owned,0.007999999999999997,0.07858753081755399
unique_genres_played_is_missing,0.0,0.0
publisher,0.0,0.0
developer,0.0,0.0
game_total_playtime_minutes_is_missing,0.0,0.0
user_count_is_missing,0.0,0.0
median_playtime_minutes_is_missing,0.0,0.0
total_playtime_minutes_is_missing,0.0,0.0
total_games_owned_is_missing,0.0,0.0
genres,0.0,0.0
unique_genres_played,-0.007999999999999985,0.03709447398198277
median_playtime_minutes,-0.007999999999999985,0.06273754856543247
total_playtime_minutes,-0.015999999999999993,0.05571355310873645
country,-0.03200000000000003,0.03709447398198285
