feature,importance_mean,importance_std
game_total_playtime_minutes,0.172,0.14675149062275314
user_count,0.06799999999999999,0.08447484832777154
platforms_windows;mac;linux,0.01599999999999997,0.019595917942265388
total_games_owned,0.007999999999999997,0.07858753081755399
platforms_windows,0.003999999999999981,0.019595917942265402
genres_Simulation,0.0,0.0
publisher_Volens Nolens Games,0.0,0.0
publisher_Ubisoft,0.0,0.0
publisher_Techland Publishing,0.0,0.0
publisher_TaleWorlds Entertainment,0.0,0.0
publisher_Ska Studios,0.0,0.0
publisher_Senpai Industrial Studios,0.0,0.0
publisher_PlayStation Publishing LLC,0.0,0.0
publisher_Paradox Interactive,0.0,0.0
"publisher_OMOCAT, LLC",0.0,0.0
publisher_Nordic Games,0.0,0.0
publisher_Mad Goblin Games,0.0,0.0
publisher_INSGAMES LIMITED,0.0,0.0
publisher_HypeTrain Digital,0.0,0.0
publisher_Forthright Entertainment,0.0,0.0
publisher_Fireshine Games,0.0,0.0
publisher_Excalibur Publishing,0.0,0.0
publisher_Codemasters;Electronic Arts,0.0,0.0
publisher_Chilla's Art,0.0,0.0
publisher_Cateia Games,0.0,0.0
publisher_Back To Basics Gaming,0.0,0.0
publisher_Valve,0.0,0.0
"publisher_XSEED Games;Marvelous USA, Inc.;Marvelous Europe",0.0,0.0
genres_RPG,0.0,0.0
publisher_Ziggurat,0.0,0.0
genres_Casual;Indie;Simulation,0.0,0.0
genres_Casual;Indie,0.0,0.0
genres_Aksiyon;Macera,0.0,0.0
genres_Adventure;Indie;RPG;Simulation;Strategy,0.0,0.0
genres_Adventure;Indie;RPG,0.0,0.0
genres_Adventure;Indie,0.0,0.0
genres_Action;RPG,0.0,0.0
genres_Action;Indie;RPG;Simulation;Strategy,0.0,0.0
genres_Action;Indie;RPG,0.0,0.0
genres_Action;Adventure;Strategy,0.0,0.0
genres_Action;Adventure;RPG,0.0,0.0
genres_Action;Adventure;Indie;RPG,0.0,0.0
genres_Action;Adventure;Indie,0.0,0.0
genres_Action;Adventure;Casual;Indie;Simulation;Strategy,0.0,0.0
genres_Action;Adventure,0.0,0.0
genres_Action,0.0,0.0
genres_Strategy,0.0,0.0
platforms_windows;mac,0.0,0.0
developer_Сrazy Creator;Rosyaev,0.0,0.0
publisher_2K,0.0,0.0
developer_Vigil Games,0.0,0.0
developer_Zelart,0.0,0.0
developer_Cateia Games,0.0,0.0
country_US,0.0,0.0
country_TR,0.0,0.0
country_PL,0.0,0.0
country_PH,0.0,0.0
country_NL,0.0,0.0
country_MISSING,0.0,0.0
country_IT,0.0,0.0
country_ID,0.0,0.0
country_GB,0.0,0.0
country_FR,0.0,0.0
country_DE,0.0,0.0
country_CN,0.0,0.0
country_CA,0.0,0.0
game_total_playtime_minutes_is_missing,0.0,0.0
user_count_is_missing,0.0,0.0
unique_genres_played_is_missing,0.0,0.0
median_playtime_minutes_is_missing,0.0,0.0
total_playtime_minutes_is_missing,0.0,0.0
total_games_owned_is_missing,0.0,0.0
developer_Capstone Software,0.0,0.0
developer_Arrowhead Game Studios,0.0,0.0
developer_Chilla's Art,0.0,0.0
developer_MiniBoss,0.0,0.0
developer_Ubisoft Montreal,0.0,0.0
developer_Ubisoft,0.0,0.0
developer_Techland,0.0,0.0
developer_TaleWorlds Entertainment,0.0,0.0
developer_Strange Fire,0.0,0.0
developer_Stonewheat & Sons,0.0,0.0
developer_Soma Games,0.0,0.0
developer_Ska Studios,0.0,0.0
developer_Permafrost Studio,0.0,0.0
"developer_OMOCAT, LLC",0.0,0.0
"developer_MicroProse Software, Inc",0.0,0.0
developer_Marvelous Inc.,0.0,0.0
developer_Mad Goblin Games,0.0,0.0
developer_Liquid Entertainment,0.0,0.0
developer_InsGames,0.0,0.0
developer_Gearbox Software;Blind Squirrel Games,0.0,0.0
developer_Facepunch Studios,0.0,0.0
developer_Czester16,0.0,0.0
genres_Violent;Action;Indie;Strategy,0.0,0.0
unique_genres_played,-0.007999999999999985,0.03709447398198277
median_playtime_minutes,-0.007999999999999985,0.06273754856543247
total_playtime_minutes,-0.015999999999999993,0.05571355310873645
country_RU,-0.03200000000000003,0.03709447398198285
